Datetime,Open,High,Low,Close,Volume
2011-06-01,148.8,154.0,148.05,151.95,29977
2011-06-02,152.15,152.15,149.2,150.8,10076
2011-06-03,150.5,152.9,150.0,150.3,10289
2011-06-06,152.9,153.0,147.0,147.65,16805
2011-06-07,148.1,148.5,146.3,147.0,13896
2011-06-08,147.1,148.0,146.1,146.5,12323
2011-06-09,146.25,147.45,145.2,146.0,13970
2011-06-10,145.15,149.8,145.15,145.95,33809
2011-06-13,145.5,149.0,145.5,146.35,23315
2011-06-14,145.5,147.6,145.5,146.5,10284
2011-06-15,147.0,148.45,145.55,146.0,10731
2011-06-16,145.1,146.35,144.0,145.3,15015
2011-06-17,145.0,145.5,143.2,143.8,9499
2011-06-20,143.5,144.0,125.55,128.5,99575
2011-06-21,131.2,135.95,129.0,131.85,45025
2011-06-22,133.8,139.5,132.55,133.25,69800
2011-06-23,132.55,135.0,131.0,131.4,12603
2011-06-24,132.4,134.0,130.05,130.7,28018
2011-06-27,127.2,132.65,127.2,131.1,18149
2011-06-28,130.1,132.0,130.0,130.6,17793
2011-06-29,130.1,133.8,129.1,130.3,30945
2011-06-30,131.5,133.9,130.25,130.8,30853
2011-07-01,131.1,135.9,130.1,130.8,97736
2011-07-04,131.25,135.6,131.2,134.95,57397
2011-07-05,135.9,138.85,135.0,135.7,57939
2011-07-06,136.0,154.4,136.0,149.8,1829389
2011-07-07,151.7,153.5,144.1,144.95,815648
2011-07-08,148.0,148.0,139.0,139.65,186500
2011-07-11,137.4,143.35,137.4,138.95,132374
2011-07-12,137.75,141.1,136.0,138.15,102654
2011-07-13,138.15,139.7,138.0,138.6,82356
2011-07-14,134.9,136.1,133.7,134.1,121780
2011-07-15,134.05,137.8,131.9,132.35,122968
2011-07-18,133.1,134.0,131.0,131.3,55346
2011-07-19,132.0,133.0,130.1,132.3,53210
2011-07-20,133.4,138.4,132.25,133.35,189625
2011-07-21,134.35,136.45,131.85,133.15,179661
2011-07-22,133.25,135.9,132.0,132.4,96109
2011-07-25,130.0,132.4,128.25,128.85,128769
2011-07-26,125.0,129.9,121.1,124.15,85810
2011-07-27,123.6,124.5,122.2,122.75,61661
2011-07-28,122.0,122.7,117.5,118.25,80076
2011-07-29,117.25,120.7,115.0,115.85,82443
2011-08-01,115.1,117.15,110.5,111.35,60102
2011-08-02,111.6,111.95,106.2,107.15,79926
2011-08-03,106.0,108.9,103.2,108.3,74863
2011-08-04,109.5,114.85,108.05,109.9,125573
2011-08-05,107.0,107.35,102.25,104.65,71381
2011-08-08,102.0,102.0,97.25,100.6,60568
2011-08-09,95.7,100.7,95.7,98.9,46574
2011-08-10,103.4,103.4,100.3,102.2,37555
2011-08-11,101.9,101.9,100.25,101.4,19217
2011-08-12,102.1,103.8,100.8,101.35,23362
2011-08-16,102.9,102.9,98.5,99.15,23159
2011-08-17,99.1,101.0,96.55,98.55,29343
2011-08-18,99.85,99.85,97.15,98.9,33332
2011-08-19,98.1,98.1,95.0,97.3,37029
2011-08-22,99.8,101.5,95.2,100.65,24147
2011-08-23,101.5,103.4,100.1,101.45,14398
2011-08-24,103.4,103.4,100.85,101.0,14220
2011-08-25,100.85,101.95,99.75,100.55,31178
2011-08-26,99.9,101.0,98.1,98.6,23939
2011-08-29,98.3,101.25,98.3,100.2,16227
2011-08-30,102.85,102.9,100.2,101.1,16270
2011-09-02,101.5,102.45,100.1,101.45,7077
2011-09-05,101.25,101.45,100.0,100.45,8954
2011-09-06,100.05,102.0,99.7,101.6,17158
2011-09-07,101.9,102.85,100.5,102.1,40209
2011-09-08,101.9,115.7,101.6,109.75,284357
2011-09-09,110.85,111.9,105.15,105.9,59265
2011-09-12,101.35,104.4,100.55,101.6,25477
2011-09-13,102.0,109.85,102.0,104.4,69934
2011-09-14,105.9,107.8,103.65,105.85,56109
2011-09-15,107.0,107.0,104.6,105.55,23761
2011-09-16,106.45,107.75,104.6,104.7,16988
2011-09-19,105.0,105.0,103.5,103.65,7531
2011-09-20,104.2,106.9,104.05,105.7,22156
2011-09-21,106.3,107.0,104.6,106.6,23758
2011-09-22,105.45,108.8,104.1,106.8,44534
2011-09-23,105.15,107.85,103.25,106.9,31785
2011-09-26,106.0,110.65,105.8,109.05,63308
2011-09-27,109.9,113.0,108.0,108.85,51808
2011-09-28,108.5,110.75,107.0,107.3,15906
2011-09-29,108.75,112.5,107.0,111.6,164660
2011-09-30,113.4,113.9,110.6,111.1,57109
2011-10-03,114.0,115.9,111.0,112.2,76917
2011-10-04,112.25,112.65,107.0,107.9,31111
2011-10-05,107.75,109.45,106.7,107.1,12164
2011-10-07,109.9,109.95,106.3,107.2,16952
2011-10-10,107.1,109.0,107.0,108.0,11856
2011-10-11,109.65,109.8,107.05,107.85,17151
2011-10-12,107.1,114.0,107.1,110.55,63893
2011-10-13,111.0,111.9,109.5,109.95,20268
2011-10-14,109.0,111.65,109.0,109.5,10939
2011-10-17,110.0,111.4,110.0,110.15,14422
2011-10-18,109.0,109.85,105.35,108.1,37417
2011-10-19,110.2,110.55,107.35,107.95,12033
2011-10-20,108.3,108.9,107.1,107.95,19108
2011-10-21,109.9,111.95,108.3,108.75,30524
2011-10-24,110.75,111.5,108.5,109.6,24172
2011-10-25,111.9,112.8,110.25,111.0,36432
2011-10-26,112.25,112.8,110.5,110.95,9113
2011-10-28,110.0,112.9,110.0,111.25,37159
2011-10-31,111.25,111.9,109.35,110.5,28543
2011-11-01,109.5,111.0,108.7,109.85,43759
2011-11-02,109.1,111.1,108.2,110.6,22319
2011-11-03,110.0,112.5,109.6,111.85,32562
2011-11-04,110.95,112.05,109.75,110.05,30597
2011-11-08,110.05,110.5,109.0,109.25,13182
2011-11-09,110.3,110.85,108.35,109.15,19804
2011-11-11,108.0,110.7,106.0,106.8,13738
2011-11-14,108.25,108.85,104.25,105.95,20236
2011-11-15,105.55,106.3,103.2,105.2,25439
2011-11-16,104.0,105.1,102.0,104.35,19033
2011-11-17,103.0,104.75,102.5,103.25,10519
2011-11-18,103.95,103.95,98.35,101.25,23557
2011-11-21,101.25,102.5,98.0,100.0,35198
2011-11-22,99.0,110.8,99.0,106.75,90440
2011-11-23,108.5,109.9,105.0,106.4,36261
2011-11-24,105.0,106.8,103.0,104.75,10580
2011-11-25,104.75,106.6,101.25,102.4,29407
2011-11-28,102.5,104.7,101.6,103.75,14344
2011-11-29,104.25,106.85,103.5,105.05,18310
2011-11-30,106.5,108.65,103.0,107.4,17032
2011-12-01,109.9,109.9,107.0,108.3,12439
2011-12-02,109.8,109.9,106.3,107.6,11810
2011-12-05,108.0,111.0,107.3,108.1,20426
2011-12-07,109.9,109.9,106.85,108.05,17883
2011-12-08,107.2,107.7,106.0,106.95,14236
2011-12-09,106.0,107.4,104.7,105.85,10097
2011-12-12,105.25,107.75,101.55,102.7,9504
2011-12-13,103.0,104.65,99.2,101.15,10622
2011-12-14,101.2,101.85,99.15,99.7,9650
2011-12-15,100.0,100.0,97.15,98.2,12090
2011-12-16,98.05,102.3,97.0,97.8,11898
2011-12-19,97.0,98.0,92.1,93.95,30808
2011-12-20,94.0,94.2,92.6,93.2,21587
2011-12-21,95.9,95.9,91.1,93.05,19507
2011-12-22,94.95,94.95,91.6,93.1,3551
2011-12-23,93.0,96.0,92.0,94.95,9371
2011-12-26,95.0,97.0,94.65,95.95,6796
2011-12-27,95.0,96.85,94.05,95.05,5623
2011-12-28,97.25,97.25,93.75,94.55,3579
2011-12-29,94.0,95.35,92.2,92.95,3608
2011-12-30,93.0,94.85,92.95,93.4,7619
2012-01-02,93.95,95.2,93.4,94.7,7929
2012-01-03,94.25,96.75,93.15,96.15,7942
2012-01-04,96.5,97.9,96.05,97.2,5818
2012-01-05,96.1,98.6,96.1,96.8,3647
2012-01-06,96.5,98.25,95.5,97.7,4270
2012-01-07,98.0,98.75,98.0,98.5,1663
2012-01-09,98.9,102.75,97.55,99.6,12387
2012-01-10,100.1,109.45,100.1,104.95,56825
2012-01-11,105.0,109.0,105.0,106.25,19767
2012-01-12,105.1,108.4,104.1,106.0,11584
