Datetime,Open,High,Low,Close,Volume
2026-08-17,122.5,122.5,115.0,117.61,12310
2026-08-18,118.2,124.65,117.1,121.66,43443
2026-08-19,123.7,124.18,119.01,119.69,14877
2026-08-20,119.85,122.96,118.26,119.05,16757
2026-08-21,119.05,120.55,118.25,118.71,14339
2026-08-24,122.9,122.9,118.0,118.4,12639
2026-08-25,118.01,119.49,117.0,117.07,12340
2026-08-26,116.3,117.99,116.3,117.04,21750
2026-08-27,117.62,117.62,116.1,116.78,23587
2026-08-28,116.77,117.0,115.0,115.43,19600
2026-08-31,115.43,118.01,114.01,114.45,21054
2026-09-01,117.99,118.19,114.47,116.59,27223
