Datetime,Open,High,Low,Close,Volume
2016-06-06,183.0,184.0,183.0,184.0,418
2016-06-07,186.25,186.25,186.25,186.25,270
2016-06-08,186.0,190.7,186.0,186.0,47
2016-06-09,181.0,184.8,178.2,183.71,300
2016-06-13,183.7,186.9,178.51,179.38,171
2016-06-15,181.0,185.5,180.25,183.75,95
2016-06-16,186.0,190.9,181.5,181.5,243
2016-06-20,186.0,191.0,182.0,186.65,43
2016-06-21,185.75,185.75,185.0,185.0,1814
2016-06-22,186.0,186.7,186.0,186.7,2
2016-06-23,185.7,185.7,184.55,184.55,10
2016-06-24,185.0,185.0,185.0,185.0,100
2016-06-27,180.0,180.0,180.0,180.0,25
2016-06-28,184.0,184.0,184.0,184.0,81
2016-06-29,184.0,185.0,184.0,185.0,80
2016-06-30,180.0,189.0,180.0,186.0,355
2016-07-01,186.0,188.95,186.0,187.15,71
2016-07-04,184.0,199.9,184.0,192.0,55
2016-07-05,197.9,197.9,181.12,183.2,235
2016-07-07,192.88,192.88,187.0,190.0,10
2016-07-08,190.0,190.0,181.25,181.25,144
2016-07-11,199.85,199.85,184.0,190.35,20211
2016-07-12,195.0,195.0,187.0,187.0,20
2016-07-13,187.1,209.0,187.1,195.0,424
2016-07-18,193.25,193.25,193.25,193.25,4
2016-07-20,187.0,193.0,187.0,187.5,233
2016-07-21,193.75,193.75,193.75,193.75,22
2016-07-22,195.0,195.0,195.0,195.0,45
2016-07-26,195.0,195.0,185.5,194.0,610
2016-07-27,207.95,207.95,189.5,196.5,603
2016-07-28,194.0,194.0,194.0,194.0,38
2016-07-29,207.0,208.0,199.0,199.0,5
2016-08-01,196.0,196.0,196.0,196.0,200
2016-08-04,198.0,198.0,198.0,198.0,24
2016-08-05,209.0,209.0,209.0,209.0,25
2016-08-08,218.0,218.0,200.0,201.0,68
2016-08-09,219.0,219.0,195.0,199.0,33
2016-08-10,192.1,200.75,188.0,200.75,856
2016-08-11,192.0,200.0,192.0,199.01,310
2016-08-12,199.8,200.0,195.1,199.94,21
2016-08-16,200.0,200.0,197.0,197.0,250
2016-08-22,205.7,213.99,195.25,196.43,282
2016-08-23,194.75,194.75,194.75,194.75,200
2016-08-25,197.0,197.0,190.5,194.8,223
2016-08-26,195.5,195.7,192.0,195.7,85
2016-08-29,196.0,196.0,186.0,193.91,1510
2016-08-30,188.1,192.0,188.1,192.0,588
2016-08-31,196.9,199.75,196.9,199.75,449
2016-09-01,192.0,198.1,178.0,191.2,11484
2016-09-02,197.85,199.49,197.85,199.25,7
2016-09-06,207.95,207.95,187.11,199.95,5914
2016-09-07,198.95,198.95,197.0,197.06,200
2016-09-08,199.94,200.0,195.5,199.83,10173
2016-09-09,208.99,208.99,200.2,200.2,35
2016-09-12,200.0,200.0,200.0,200.0,9
2016-09-14,199.0,199.0,199.0,199.0,15
2016-09-15,191.5,198.9,191.5,192.42,8
2016-09-16,199.0,200.21,199.0,200.21,50
2016-09-21,192.11,200.0,192.11,200.0,204
2016-09-22,199.0,200.0,199.0,200.0,467
2016-09-23,199.25,202.25,199.25,202.25,15
2016-09-26,201.5,201.5,201.5,201.5,1
2016-09-27,209.0,209.0,209.0,209.0,18
2016-09-29,204.0,204.0,196.0,203.75,118
2016-09-30,199.0,205.5,199.0,200.0,407
2016-10-04,194.5,201.5,194.5,201.5,968
2016-10-05,204.0,204.0,204.0,204.0,24
2016-10-06,203.75,203.75,192.57,192.78,102
2016-10-07,195.11,201.25,195.1,201.25,300
2016-10-10,204.25,204.25,201.0,201.0,142
2016-10-13,203.25,203.25,201.45,201.45,10557
2016-10-14,202.25,202.25,202.25,202.25,100
2016-10-17,204.0,204.0,204.0,204.0,222
2016-10-18,201.0,201.0,201.0,201.0,5
2016-10-19,202.5,202.5,202.5,202.5,100
2016-10-20,203.75,203.75,199.0,199.0,51
2016-10-25,202.25,202.25,198.0,198.5,1022
2016-10-26,198.0,198.5,198.0,198.5,1160
2016-10-27,201.25,201.25,195.2,198.13,818
2016-10-28,200.99,201.0,200.99,201.0,40
2016-11-01,201.74,201.74,195.0,195.0,11
2016-11-03,192.15,192.9,192.15,192.9,73
2016-11-04,196.0,197.0,196.0,197.0,102
2016-11-07,201.99,201.99,194.0,195.2,1257
2016-11-08,195.0,195.0,195.0,195.0,45
2016-11-09,208.99,208.99,190.15,191.0,10950
2016-11-10,189.5,189.5,189.5,189.5,4
2016-11-15,199.0,208.98,186.1,208.98,94
2016-11-16,186.0,191.0,183.6,183.93,1020
2016-11-17,184.01,185.99,184.01,185.99,20
2016-11-18,183.0,183.0,183.0,183.0,25
2016-11-22,185.0,185.0,185.0,185.0,52
2016-11-28,204.0,204.0,204.0,204.0,20
2016-11-29,198.0,199.99,185.0,190.45,216
2016-12-01,189.9,190.95,189.9,190.95,278
2016-12-05,204.0,205.0,194.0,194.0,31
2016-12-06,193.9,193.9,188.0,188.0,12
2016-12-07,198.0,198.0,185.5,185.5,27
2016-12-08,198.0,199.0,191.99,191.99,49
2016-12-09,194.95,195.0,194.95,195.0,13
2016-12-12,188.99,189.0,188.99,189.0,137
2016-12-20,198.0,201.0,189.0,195.0,9
2016-12-23,186.0,186.0,184.6,184.6,15509
2016-12-26,185.0,185.0,185.0,185.0,4
2016-12-28,188.0,188.85,188.0,188.85,211
2016-12-29,188.5,188.5,188.5,188.5,2
2016-12-30,189.5,189.5,189.0,189.5,525
2017-01-03,193.49,193.49,193.0,193.0,4
2017-01-05,198.9,198.9,194.12,194.12,55
2017-01-09,194.0,194.0,193.97,193.97,45
2017-01-11,194.0,194.0,194.0,194.0,56
2017-01-12,193.0,197.99,193.0,197.5,64
2017-01-17,198.9,211.99,193.0,198.41,420
2017-01-18,194.0,194.5,189.0,190.0,436
2017-01-19,192.0,192.0,192.0,192.0,20
2017-01-20,192.0,192.0,192.0,192.0,26
2017-01-23,189.12,194.49,189.12,190.0,10
2017-01-24,190.0,190.0,189.0,189.0,9
2017-01-27,198.99,198.99,197.0,197.0,48
2017-01-30,196.0,196.0,190.0,190.02,58
2017-01-31,195.0,195.5,194.9,195.5,47
2017-02-01,194.5,194.99,194.5,194.65,160
2017-02-03,197.0,198.5,197.0,197.0,501
2017-02-06,217.0,218.0,200.0,200.0,104
2017-02-07,217.0,217.0,200.0,200.0,4
2017-02-08,200.0,201.0,200.0,200.9,43
2017-02-10,200.9,200.9,200.9,200.9,7
2017-02-13,200.9,200.9,194.1,195.1,68
2017-02-14,200.9,200.9,200.9,200.9,2
2017-02-17,200.95,200.95,193.0,193.0,26
2017-02-20,193.5,201.05,193.5,201.0,161
2017-02-21,199.15,201.0,199.15,201.0,71
2017-02-23,207.55,207.55,194.1,199.5,10236
2017-02-27,210.0,212.0,201.25,208.32,11718
2017-02-28,209.0,209.9,203.5,209.9,8
2017-03-01,202.5,212.0,202.5,211.63,350
2017-03-02,209.0,211.99,203.0,204.57,29
2017-03-03,219.0,219.0,195.35,208.98,365
2017-03-06,210.0,211.0,210.0,211.0,110
2017-03-07,212.0,212.0,211.0,212.0,64
2017-03-08,213.0,213.0,213.0,213.0,40
2017-03-09,211.0,211.25,210.0,210.0,32
2017-03-10,211.0,211.0,211.0,211.0,7
2017-03-14,213.0,216.0,210.0,210.0,265
2017-03-15,211.0,215.0,211.0,214.75,18
2017-03-16,216.0,216.0,205.0,215.65,403
2017-03-17,216.0,216.0,215.65,215.65,27
2017-03-20,216.0,216.0,216.0,216.0,1
2017-03-21,216.0,216.0,216.0,216.0,1
2017-03-22,216.0,216.0,211.5,211.5,111
2017-03-23,216.0,216.0,213.0,213.0,1501
2017-03-24,216.0,216.0,213.5,213.5,1501
2017-03-27,216.0,216.0,216.0,216.0,18
2017-03-28,216.0,216.0,215.95,215.95,3
2017-03-29,216.0,216.0,199.5,204.26,39
2017-03-30,216.0,216.0,212.0,212.0,3
2017-03-31,216.0,216.0,202.0,216.0,111
2017-04-03,216.0,216.0,208.1,215.95,318
2017-04-05,215.95,217.5,215.95,217.5,335
2017-04-06,218.0,218.5,217.9,218.45,100
2017-04-07,221.0,221.0,209.0,219.0,340
2017-04-10,221.0,221.0,220.0,220.0,521
2017-04-11,221.0,221.0,220.0,220.0,68
2017-04-12,221.0,221.0,216.5,216.5,136
2017-04-13,221.0,221.0,221.0,221.0,12
2017-04-17,229.0,229.0,215.8,215.9,536
2017-04-18,221.0,221.0,217.75,218.0,161
2017-04-19,225.0,225.0,214.9,215.06,181
2017-04-20,224.95,224.95,216.0,216.0,13
2017-04-21,225.0,225.0,224.5,224.5,2
2017-04-24,224.9,225.0,224.9,225.0,2
2017-04-25,224.0,224.99,218.57,220.22,77
2017-04-26,225.0,225.0,225.0,225.0,1
2017-04-27,225.0,225.0,219.35,219.35,369
2017-04-28,225.0,225.0,225.0,225.0,1
2017-05-02,225.0,225.0,218.25,218.25,404
2017-05-03,225.0,225.0,218.75,218.75,4
2017-05-04,225.0,225.0,217.81,219.7,101
2017-05-05,225.0,225.0,218.25,218.25,610
2017-05-08,224.99,224.99,219.0,219.84,10205
2017-05-09,224.0,224.0,219.74,219.75,151
2017-05-10,224.99,225.0,218.01,225.0,20
2017-05-11,225.0,225.0,225.0,225.0,2
2017-05-12,225.0,225.0,221.5,221.5,101
2017-05-15,229.0,229.0,226.0,226.0,18
