Datetime,Open,High,Low,Close,Volume
2016-06-02,602.53,607.45,597.76,603.13,213713
2016-06-03,603.53,608.45,599.55,604.84,203702
2016-06-06,604.27,608.13,597.56,600.39,151055
2016-06-07,604.02,608.85,593.68,599.8,362349
2016-06-08,601.96,625.9,597.56,624.68,653120
2016-06-09,630.35,634.7,618.14,620.88,433096
2016-06-10,621.37,631.17,613.97,618.24,268059
2016-06-13,613.97,621.42,604.4,618.66,224427
2016-06-14,621.42,623.79,615.73,620.06,163745
2016-06-15,621.42,627.09,616.95,625.2,219911
2016-06-16,626.15,626.4,615.51,622.77,218424
2016-06-17,628.98,632.63,623.51,627.56,267596
2016-06-20,620.43,631.74,619.61,629.45,181918
2016-06-21,629.63,633.33,625.25,629.15,202875
2016-06-22,629.38,633.35,624.9,629.23,202338
2016-06-23,632.36,632.36,626.4,629.5,123973
2016-06-24,617.57,629.97,604.07,625.1,227757
2016-06-27,625.1,631.37,622.02,624.13,191132
2016-06-28,631.37,645.53,628.93,643.0,374393
2016-06-29,644.79,646.31,636.46,638.95,235527
2016-06-30,640.31,656.22,639.82,651.1,679397
2016-07-01,651.75,659.83,645.31,647.55,264398
2016-07-04,648.79,653.04,639.07,640.69,234660
2016-07-05,642.3,644.76,634.35,638.8,172084
2016-07-07,639.49,641.31,632.36,634.52,156591
2016-07-08,634.35,643.45,632.51,634.35,162310
2016-07-11,640.79,652.0,637.68,645.88,364913
2016-07-12,648.27,650.51,641.81,647.5,156385
2016-07-13,649.76,652.99,643.05,649.49,193872
2016-07-14,643.55,655.75,643.55,651.97,159095
2016-07-15,650.01,655.73,647.0,651.43,122939
2016-07-18,652.25,652.72,637.33,641.04,131614
2016-07-19,641.31,651.35,640.14,649.39,110726
2016-07-20,650.75,672.63,649.24,668.1,470522
2016-07-21,663.68,668.15,654.91,658.19,141699
2016-07-22,660.35,670.99,655.75,667.36,207487
2016-07-25,665.62,674.12,661.72,670.07,170514
2016-07-26,668.65,669.57,658.91,660.28,130643
2016-07-27,661.05,667.96,658.29,662.64,140947
2016-07-28,662.19,666.94,648.82,652.74,615217
2016-07-29,659.55,662.16,647.9,655.48,360263
2016-08-01,658.81,672.63,657.76,665.4,299918
2016-08-02,665.67,671.14,634.85,636.64,335811
2016-08-03,636.34,640.31,614.41,619.14,236548
2016-08-04,622.0,631.81,614.49,624.26,310964
2016-08-05,627.86,648.77,626.89,643.17,473941
2016-08-08,645.71,658.71,639.4,656.89,244273
2016-08-09,658.21,661.27,647.27,658.68,171054
2016-08-10,659.7,660.5,641.31,643.52,250454
2016-08-11,644.29,657.37,637.08,653.66,141909
2016-08-12,641.26,651.2,633.68,645.86,169903
2016-08-16,643.62,649.74,637.83,643.92,132491
2016-08-17,643.05,645.19,636.83,642.05,119383
2016-08-18,642.75,645.24,638.85,642.03,66278
2016-08-19,642.3,652.87,637.85,650.26,193084
2016-08-22,648.62,654.73,641.61,645.16,188096
2016-08-23,643.79,644.69,635.17,639.1,205790
2016-08-24,639.1,641.81,631.44,639.22,116991
2016-08-25,638.82,645.29,627.89,630.82,316460
2016-08-26,632.48,646.78,626.4,642.85,186007
2016-08-29,643.3,643.82,631.86,637.01,104550
2016-08-30,636.44,643.3,633.35,634.72,201257
2016-08-31,637.38,641.06,624.43,629.4,199447
2016-09-01,631.37,634.45,621.7,623.74,192811
2016-09-02,625.45,630.5,623.71,626.87,148896
2016-09-06,630.37,636.34,627.89,632.29,189139
2016-09-07,632.36,653.74,628.88,644.24,370776
2016-09-08,650.73,655.73,643.32,646.16,308671
2016-09-09,643.75,646.31,634.35,641.18,235565
2016-09-12,631.12,631.12,615.06,618.44,330367
2016-09-14,618.94,626.35,611.48,621.1,318963
2016-09-15,621.42,625.75,617.74,621.45,99852
2016-09-16,623.46,629.38,621.32,625.6,232662
2016-09-19,629.88,630.52,619.86,628.43,174759
2016-09-20,627.89,628.33,617.45,620.13,89308
2016-09-21,613.79,635.77,613.79,627.51,264414
2016-09-22,631.91,633.33,619.93,627.56,170899
2016-09-23,627.56,636.34,623.91,634.32,197487
2016-09-26,633.33,639.0,628.98,632.31,129438
2016-09-27,633.35,639.77,632.56,636.79,286306
2016-09-28,636.34,642.01,631.96,640.59,178648
2016-09-29,641.81,646.26,597.64,605.42,354738
2016-09-30,613.44,621.42,602.78,616.6,173806
2016-10-03,619.91,627.27,616.13,624.31,167013
2016-10-04,623.91,626.67,619.98,624.95,155421
2016-10-05,627.04,630.84,620.48,627.09,185669
2016-10-06,627.94,629.88,614.19,618.76,101012
2016-10-07,618.29,620.93,613.97,617.99,71008
2016-10-10,619.44,620.28,612.1,616.08,78032
2016-10-13,612.48,618.44,606.51,609.24,135622
2016-10-14,611.48,612.48,603.13,610.14,68638
2016-10-17,610.24,614.84,598.36,601.29,63112
2016-10-18,602.53,615.41,598.38,611.41,106556
2016-10-19,614.91,615.06,607.75,611.08,92782
2016-10-20,613.97,614.66,605.52,606.61,92074
2016-10-21,608.0,612.33,605.09,610.54,47006
2016-10-24,609.74,612.25,601.07,602.26,96563
2016-10-25,603.53,606.39,599.33,602.68,57669
2016-10-26,600.49,602.13,590.0,594.83,92259
2016-10-27,591.65,595.12,572.95,584.46,179962
2016-10-28,584.14,592.39,581.18,588.46,56067
2016-10-30,589.56,592.59,586.62,590.3,19878
2016-11-01,594.08,594.65,576.01,578.97,88578
2016-11-02,578.97,584.14,572.33,575.86,121732
2016-11-03,575.19,578.67,559.28,563.48,141033
2016-11-04,562.46,563.16,550.33,552.02,118893
2016-11-07,555.25,561.24,547.82,550.41,108211
2016-11-08,554.21,561.27,547.4,558.68,82153
2016-11-09,546.8,546.8,503.1,539.2,187816
2016-11-10,547.35,556.17,540.41,542.53,123981
2016-11-11,539.4,579.17,532.54,555.2,273216
2016-11-15,566.74,569.1,522.12,548.62,226223
2016-11-16,556.8,565.74,539.92,554.76,217516
2016-11-17,554.31,573.7,528.46,558.73,308275
2016-11-18,563.26,564.13,548.34,555.01,118481
2016-11-21,552.87,557.77,533.68,537.38,86415
2016-11-22,542.98,546.85,523.19,534.15,148916
2016-11-23,535.42,544.07,519.61,524.36,645180
2016-11-24,521.65,523.74,510.21,520.65,343824
2016-11-25,520.83,531.42,519.51,524.56,153676
2016-11-28,524.48,541.09,522.49,536.29,163650
2016-11-29,536.91,546.11,535.42,540.04,135057
2016-11-30,540.07,545.86,537.41,540.46,179803
2016-12-01,541.88,557.79,537.95,555.48,210038
2016-12-02,555.28,556.3,539.17,542.75,168175
2016-12-05,544.37,552.12,541.46,543.07,133275
2016-12-06,543.1,568.11,543.1,559.53,203725
2016-12-07,564.75,566.74,542.88,546.38,277913
2016-12-08,552.3,567.53,550.9,565.02,231988
2016-12-09,567.29,572.23,558.29,562.69,172317
2016-12-12,571.71,571.71,554.31,564.55,112574
2016-12-13,561.82,567.21,557.14,563.43,111911
2016-12-14,563.26,565.0,553.59,556.1,121215
2016-12-15,546.85,567.24,546.85,561.2,149766
2016-12-16,562.74,566.59,554.31,560.47,147569
2016-12-19,559.28,560.87,548.87,552.52,152571
2016-12-20,553.81,559.23,539.37,542.15,164361
2016-12-21,539.5,550.63,538.1,547.03,185768
2016-12-22,549.34,549.34,538.53,540.04,109766
2016-12-23,539.37,539.37,528.43,532.36,159813
