Datetime,Open,High,Low,Close,Volume
2011-06-01,107.19,108.88,106.02,108.26,4550
2011-06-02,108.6,110.76,108.01,110.05,13205
2011-06-03,110.0,110.39,108.42,109.11,3180
2011-06-06,110.59,110.59,108.0,109.94,4880
2011-06-07,108.32,110.36,106.43,107.9,18080
2011-06-08,109.55,109.55,106.0,107.28,7960
2011-06-09,108.0,108.0,105.9,106.74,7595
2011-06-10,107.02,107.9,104.02,106.1,8265
2011-06-13,106.3,106.8,103.28,104.31,17605
2011-06-14,104.97,107.52,104.97,106.59,4850
2011-06-15,106.01,108.35,106.01,107.74,9595
2011-06-16,109.0,114.0,108.0,112.14,44905
2011-06-17,112.0,114.75,110.23,112.28,4580
2011-06-20,113.0,113.0,109.21,110.06,18830
2011-06-21,110.06,111.55,109.2,109.59,1715
2011-06-22,109.21,110.0,106.55,107.28,8405
2011-06-23,106.81,108.79,106.02,106.09,8050
2011-06-24,107.8,108.94,104.97,105.58,20350
2011-06-27,106.0,107.8,105.0,105.25,15205
2011-06-28,106.8,107.97,105.3,106.8,3590
2011-06-29,107.18,114.5,106.0,113.54,45925
2011-06-30,113.6,114.98,111.0,113.12,17000
2011-07-01,112.0,113.8,112.0,112.31,3775
2011-07-04,112.31,114.95,109.2,112.01,12285
2011-07-05,113.88,113.88,110.6,112.38,2605
2011-07-06,113.8,114.4,111.1,113.91,8280
2011-07-07,113.8,115.2,112.81,113.18,8450
2011-07-08,114.55,114.55,111.0,113.0,22080
2011-07-11,113.0,121.59,113.0,119.02,35240
2011-07-12,121.0,139.98,121.0,136.54,2305470
2011-07-13,134.02,141.54,132.99,134.44,1469295
2011-07-14,133.4,137.0,128.25,129.77,267220
2011-07-15,130.0,130.95,126.39,127.13,115225
2011-07-18,128.44,128.44,123.0,124.08,92050
2011-07-19,124.61,132.33,124.1,126.86,200380
2011-07-20,126.87,130.2,124.5,124.99,77565
2011-07-21,126.2,126.95,122.0,122.34,25535
2011-07-22,123.6,127.79,122.85,123.97,55520
2011-07-25,123.97,124.98,122.02,122.49,34390
2011-07-26,123.4,129.6,122.0,125.26,104295
2011-07-27,125.0,131.8,125.0,126.9,67765
2011-07-28,127.02,130.4,124.45,126.22,56765
2011-07-29,126.6,129.5,123.61,124.07,46305
2011-08-01,125.0,131.39,125.0,127.22,80595
2011-08-02,129.0,129.0,126.05,126.34,25490
2011-08-03,125.0,128.6,122.5,126.62,53355
2011-08-04,126.0,127.2,124.01,124.77,15445
2011-08-05,123.0,134.0,116.4,129.7,275935
2011-08-08,129.6,130.6,125.03,126.77,44820
2011-08-09,125.03,128.54,124.0,124.69,31980
2011-08-10,127.4,131.14,126.2,127.12,62905
2011-08-11,126.22,129.0,125.7,127.92,33715
2011-08-12,128.0,129.0,126.18,127.06,15900
2011-08-16,126.42,128.54,124.0,124.36,18555
2011-08-17,124.42,129.0,122.0,122.81,26485
2011-08-18,122.5,125.2,120.02,120.49,21025
2011-08-19,120.0,120.0,115.3,116.21,29660
2011-08-22,116.81,123.6,116.8,120.06,12720
2011-08-23,120.01,121.88,117.4,118.42,36745
2011-08-24,117.0,119.99,116.1,116.47,16220
2011-08-25,117.2,119.58,117.2,119.06,9310
2011-08-26,114.02,119.6,114.02,115.83,4755
2011-08-29,115.0,119.6,115.0,119.01,6895
2011-08-30,119.99,125.0,119.73,120.99,8005
2011-09-02,124.79,124.79,120.4,121.39,28645
2011-09-05,123.99,124.0,121.03,123.55,10725
2011-09-06,124.0,125.0,120.95,123.34,16035
2011-09-07,124.8,126.0,124.0,124.3,12170
2011-09-08,123.0,123.15,120.41,122.24,7045
2011-09-09,123.05,123.05,120.56,121.28,5335
2011-09-12,120.79,120.79,116.0,116.56,12265
2011-09-13,127.98,127.98,117.22,118.91,2720
2011-09-14,117.4,120.0,115.9,116.96,11045
2011-09-15,117.0,118.52,115.0,116.89,6335
2011-09-16,121.99,121.99,116.0,116.67,7825
2011-09-19,117.8,118.6,116.23,116.39,2695
2011-09-20,116.8,118.1,116.49,116.87,5565
2011-09-21,117.22,118.93,116.0,116.06,6055
2011-09-22,116.4,116.59,112.24,114.29,14735
2011-09-23,110.81,115.99,110.8,113.03,15805
2011-09-26,113.0,113.0,110.43,112.32,6430
2011-09-27,113.0,115.0,113.0,113.17,3825
2011-09-28,111.0,115.96,111.0,113.06,4455
2011-09-29,113.59,114.4,111.0,111.89,6350
2011-09-30,111.0,113.46,107.21,108.49,8730
2011-10-03,108.31,108.31,105.02,106.96,13910
2011-10-04,106.41,107.29,104.6,106.74,3480
2011-10-05,104.6,108.37,101.28,102.41,27415
2011-10-07,105.0,107.0,103.01,104.33,15485
2011-10-10,103.05,106.0,103.01,104.94,9795
2011-10-11,105.8,108.0,105.22,106.15,3905
2011-10-12,106.0,111.04,106.0,106.8,10135
2011-10-13,107.4,111.35,106.2,109.15,4895
2011-10-14,108.8,109.2,106.58,106.88,2430
2011-10-17,108.39,111.0,105.46,109.8,9435
2011-10-18,110.6,110.6,104.8,105.73,15845
2011-10-19,107.59,107.98,105.0,105.34,4975
2011-10-20,105.2,107.98,105.2,106.09,7205
2011-10-21,106.0,107.0,102.68,105.0,33670
2011-10-24,105.0,106.0,102.0,102.28,11905
2011-10-25,101.67,105.76,98.48,103.61,10180
2011-10-26,102.03,106.99,102.03,105.99,3175
2011-10-28,105.0,107.8,103.0,104.69,14735
2011-10-31,104.69,105.6,102.9,105.33,3030
2011-11-01,105.2,105.4,99.2,100.3,27160
2011-11-02,99.07,102.98,99.02,102.19,7590
2011-11-03,102.41,103.0,98.21,98.74,18150
2011-11-04,100.0,101.98,99.21,99.84,9215
2011-11-08,100.4,100.4,96.24,96.77,29050
2011-11-09,99.0,99.98,98.01,99.65,9090
2011-11-11,97.02,100.0,97.02,98.0,14250
2011-11-14,100.48,100.48,95.8,97.14,10920
2011-11-15,94.45,98.99,94.0,94.32,17405
2011-11-16,94.45,96.78,93.32,96.11,14960
2011-11-17,95.2,97.18,90.69,92.56,11930
2011-11-18,90.41,93.97,90.22,91.58,15425
2011-11-21,90.01,93.78,90.0,90.19,14705
2011-11-22,78.1,92.02,78.1,89.49,21290
2011-11-23,91.6,91.99,83.8,88.75,13360
2011-11-24,90.0,90.0,86.8,88.78,2375
2011-11-25,91.0,91.0,85.02,85.99,6430
2011-11-28,89.38,89.38,85.0,87.84,5050
2011-11-29,86.01,89.78,86.01,89.13,5605
2011-11-30,87.01,89.8,87.01,88.0,4365
2011-12-01,88.2,90.0,87.32,88.02,8980
2011-12-02,89.57,89.58,86.22,86.69,4595
2011-12-05,89.59,89.59,87.01,87.31,2210
2011-12-07,89.8,89.98,87.3,87.67,7900
2011-12-08,87.61,88.96,87.6,87.9,7935
2011-12-09,87.6,88.39,87.6,87.69,5490
2011-12-12,87.0,88.6,85.05,85.91,6120
2011-12-13,84.23,86.8,84.21,85.26,3795
2011-12-14,84.21,85.91,81.04,81.92,6350
2011-12-15,80.02,82.0,80.0,80.97,7840
2011-12-16,81.99,82.6,78.27,79.33,22475
2011-12-19,79.6,81.82,78.0,78.07,7725
2011-12-20,79.9,80.0,76.0,77.12,5560
2011-12-21,77.0,79.19,76.01,77.22,11885
2011-12-22,78.79,78.8,77.2,77.69,2615
2011-12-23,79.59,79.59,77.22,78.11,3150
2011-12-26,78.99,80.98,78.01,79.14,2395
2011-12-27,79.4,80.93,77.6,78.06,8310
2011-12-28,77.2,79.2,76.8,76.81,4435
2011-12-29,77.54,79.99,77.54,78.01,8260
2011-12-30,79.17,79.2,78.0,78.28,2845
2012-01-02,79.59,83.94,79.22,80.94,6175
2012-01-03,80.44,80.82,80.0,80.12,9015
2012-01-04,80.0,81.01,79.02,80.31,13565
2012-01-05,80.59,81.3,80.0,80.19,1565
2012-01-06,80.75,80.82,80.03,80.62,2095
2012-01-07,80.82,80.82,80.0,80.82,3360
2012-01-09,80.8,83.0,80.2,81.76,14385
2012-01-10,83.2,88.0,83.2,85.48,10345
2012-01-11,85.8,86.6,83.47,85.12,4750
2012-01-12,86.8,88.0,86.0,87.64,2705
2012-01-13,87.4,88.68,85.1,85.51,5565
2012-01-16,86.03,88.0,85.66,85.98,1745
2012-01-17,87.94,88.6,87.2,88.14,2360
2012-01-18,87.4,88.6,87.4,88.2,2540
2012-01-19,86.1,88.28,86.0,86.91,3435
2012-01-20,86.24,88.4,83.45,83.97,6490
2012-01-23,86.7,88.6,83.97,87.35,29130
2012-01-24,86.4,88.6,86.4,87.25,6325
2012-01-25,88.6,88.6,84.23,87.99,13570
2012-01-27,87.8,94.98,85.27,87.38,12880
