Datetime,Open,High,Low,Close,Volume
2021-06-04,167.4,174.7,166.8,171.0,6658
2021-06-07,171.0,177.0,169.05,172.5,16662
2021-06-08,175.0,186.0,171.65,179.45,61694
2021-06-09,179.45,184.5,175.05,176.95,15052
2021-06-10,178.65,212.3,177.0,212.3,354988
2021-06-11,238.0,238.0,205.6,215.35,207266
2021-06-14,215.35,215.35,201.0,211.4,57712
2021-06-15,207.2,214.0,203.35,204.4,22399
2021-06-16,202.8,207.55,197.5,198.8,24740
2021-06-17,202.0,205.95,192.8,194.55,45476
2021-06-18,195.25,217.8,195.25,205.0,122931
2021-06-21,202.9,208.5,195.05,202.35,51087
2021-06-22,208.0,208.0,199.4,201.25,9020
2021-06-23,206.85,214.05,200.3,207.9,65861
2021-06-24,207.9,215.0,207.9,208.9,32149
2021-06-25,208.9,214.0,205.5,209.05,14119
2021-06-28,214.5,214.5,201.35,203.3,21133
2021-06-29,203.3,211.35,201.0,205.05,18078
2021-06-30,207.0,212.9,203.35,207.35,21604
2021-07-01,202.55,207.25,196.35,199.4,25623
2021-07-02,201.05,202.05,190.8,193.35,32197
2021-07-05,198.4,198.95,194.0,197.3,16415
2021-07-06,193.6,206.0,192.7,197.4,45454
2021-07-07,197.1,199.5,193.05,196.85,11237
2021-07-08,196.85,200.25,194.2,195.25,18147
2021-07-09,194.7,196.8,187.6,190.9,17437
2021-07-12,191.25,197.0,191.2,193.1,16908
2021-07-13,192.4,193.85,189.0,191.4,14023
2021-07-14,191.4,195.7,189.05,191.2,13169
2021-07-15,193.8,193.8,186.35,187.3,12873
2021-07-16,187.35,193.7,185.55,189.35,36427
2021-07-19,188.0,192.35,185.0,189.6,11105
2021-07-20,186.65,191.25,186.0,188.1,14377
2021-07-22,188.2,190.95,186.0,187.9,9948
2021-07-23,190.1,191.7,187.1,189.05,15385
2021-07-26,190.85,226.85,187.25,213.55,363410
2021-07-27,215.85,219.0,172.1,185.35,493945
2021-07-28,187.9,190.85,172.5,173.4,185780
2021-07-29,174.3,175.75,164.75,167.8,192631
2021-07-30,169.65,174.8,164.5,165.95,186606
2021-08-02,168.15,174.95,166.25,171.0,50350
2021-08-03,174.8,186.7,171.25,178.35,231778
