Datetime,Open,High,Low,Close,Volume
2026-08-18,22.78,22.78,17.35,19.1,6166
2026-08-19,18.91,20.0,18.5,19.09,229
2026-08-20,19.88,19.88,18.0,18.23,453
2026-08-21,14.59,20.98,14.59,18.87,3510
2026-08-24,20.96,20.96,18.07,19.61,1201
2026-08-25,22.0,22.41,17.31,19.97,1991
2026-08-26,20.02,20.87,19.0,19.46,1393
2026-08-27,19.46,19.46,19.46,19.46,0
2026-08-28,19.5,20.8,17.54,18.99,269
2026-08-31,19.17,20.9,17.5,19.82,2118
2026-09-01,19.82,20.28,18.53,18.91,1665
2026-09-02,19.0,19.84,18.45,19.57,1251
2026-09-03,20.75,20.75,19.0,19.49,2313
2026-09-04,19.5,20.2,19.0,19.55,168
2026-09-07,19.55,22.78,18.12,19.07,5513
2026-09-08,18.76,19.75,18.06,18.11,3074
2026-09-09,18.2,19.5,18.2,18.64,1642
2026-09-10,18.64,18.9,17.4,17.67,2419
2026-09-11,19.19,21.2,18.7,21.2,12925
2026-09-15,25.44,25.44,24.2,25.44,40095
2026-09-16,26.99,27.9,22.9,26.52,135722
2026-09-17,27.18,27.8,25.0,25.15,22466
2026-09-18,26.0,26.9,23.12,23.47,28554
2026-09-21,23.13,24.9,22.28,24.04,10848
2026-09-22,24.99,24.99,23.0,23.16,10145
2026-09-23,25.4,25.4,23.65,24.01,14638
2026-09-24,24.05,24.05,22.59,23.15,14778
2026-09-25,24.49,24.5,22.55,23.2,6696
