Datetime,Open,High,Low,Close,Volume
2016-06-02,934.8,934.8,916.75,919.8,136511
2016-06-03,929.0,929.0,876.0,887.8,63724
2016-06-06,897.5,897.5,871.2,876.55,169309
2016-06-07,881.05,924.95,870.6,911.45,167158
2016-06-08,916.5,929.0,896.85,916.7,73832
2016-06-09,915.0,922.15,900.5,905.25,16073
2016-06-10,909.95,909.95,887.3,890.1,41033
2016-06-13,880.0,890.05,872.2,873.1,23023
2016-06-14,880.0,906.85,850.0,884.5,87473
2016-06-15,878.0,897.35,878.0,890.25,27268
2016-06-16,882.2,894.0,862.0,868.55,53004
2016-06-17,878.0,884.0,856.5,866.35,55302
2016-06-20,860.0,883.55,844.85,875.75,57101
2016-06-21,879.0,907.8,860.0,868.45,226978
2016-06-22,882.0,884.0,855.3,875.5,34587
2016-06-23,877.9,894.95,874.1,882.8,106365
2016-06-24,865.0,880.0,851.5,875.9,34714
2016-06-27,866.0,905.0,866.0,897.5,24657
2016-06-28,895.0,913.95,895.0,900.7,54091
2016-06-29,901.9,912.0,886.4,908.1,27238
2016-06-30,902.0,915.6,900.0,913.35,34513
2016-07-01,913.35,918.0,896.0,897.95,19227
2016-07-04,905.0,905.0,890.2,897.6,27258
2016-07-05,890.2,909.0,890.2,898.55,163924
2016-07-07,899.0,910.0,890.0,892.3,17270
2016-07-08,888.0,909.0,883.0,898.3,123057
2016-07-11,894.4,904.45,886.0,887.35,33363
2016-07-12,889.0,902.5,881.3,884.6,15935
2016-07-13,885.0,894.7,856.5,873.4,77535
2016-07-14,865.0,880.0,865.0,873.5,13340
2016-07-15,880.0,901.95,871.1,890.95,108710
2016-07-18,882.0,895.95,876.3,883.2,34900
2016-07-19,883.5,903.75,883.5,900.3,68561
2016-07-20,904.0,914.7,900.3,910.8,24785
2016-07-21,909.0,948.0,909.0,936.4,53185
2016-07-22,945.95,946.7,913.7,922.7,37162
2016-07-25,912.0,937.0,912.0,925.05,19818
2016-07-26,917.55,958.7,917.55,935.8,60407
