Datetime,Open,High,Low,Close,Volume
2011-06-01,23.0,23.18,22.25,22.81,53612
2011-06-02,22.5,22.89,22.28,22.74,53432
2011-06-03,22.5,23.0,22.31,22.36,43740
2011-06-06,22.25,22.46,22.0,22.19,27672
2011-06-07,22.01,22.36,21.9,22.13,64384
2011-06-08,22.01,22.5,22.01,22.23,18728
2011-06-09,22.03,22.4,22.03,22.25,14344
2011-06-10,22.04,22.44,22.0,22.05,18420
2011-06-13,21.83,22.15,21.83,22.05,21216
2011-06-14,22.38,22.88,22.33,22.51,69484
2011-06-15,22.08,23.25,22.08,22.69,64508
2011-06-16,22.01,22.63,22.01,22.46,17988
2011-06-17,22.28,22.49,22.04,22.14,11508
2011-06-20,22.03,22.03,20.78,21.05,48252
2011-06-21,21.05,21.7,20.64,20.81,26968
2011-06-22,20.31,21.0,19.68,19.75,49840
2011-06-23,19.25,19.75,19.18,19.39,43792
2011-06-24,19.25,19.86,19.16,19.33,62476
2011-06-27,19.16,20.0,19.16,19.63,68680
2011-06-28,19.75,20.5,19.08,19.95,120668
2011-06-29,19.96,20.48,19.56,20.29,48180
2011-06-30,20.16,21.38,20.16,20.98,271808
2011-07-01,21.49,21.49,21.04,21.16,32896
2011-07-04,21.38,21.63,21.04,21.1,34660
2011-07-05,21.1,22.0,20.9,21.39,140308
2011-07-06,21.63,21.7,21.28,21.33,34064
2011-07-07,21.38,21.65,21.04,21.09,28428
2011-07-08,21.15,21.25,20.75,20.84,30812
2011-07-11,20.76,21.0,20.5,20.5,14764
2011-07-12,20.53,20.59,20.29,20.49,38388
2011-07-13,20.63,20.63,20.2,20.35,24744
2011-07-14,20.25,20.31,20.02,20.24,18992
2011-07-15,20.48,21.13,20.33,20.8,104464
2011-07-18,21.58,21.58,20.54,20.84,210340
2011-07-19,20.78,21.13,20.75,20.8,44176
2011-07-20,21.15,21.15,20.18,20.25,101696
2011-07-21,20.38,20.38,20.11,20.13,29528
2011-07-22,20.13,20.41,20.13,20.31,23676
2011-07-25,20.56,20.56,20.09,20.26,25204
2011-07-26,20.13,20.24,19.89,20.0,36720
2011-07-27,20.02,20.24,20.01,20.16,18572
2011-07-28,20.16,20.24,19.68,19.77,32376
2011-07-29,20.23,20.23,19.52,19.85,17132
2011-08-01,19.99,20.3,19.58,19.7,15912
2011-08-02,19.64,19.65,19.13,19.19,30548
2011-08-03,18.75,19.38,18.75,18.95,28360
2011-08-04,18.91,19.13,18.75,18.8,17276
2011-08-05,18.55,18.55,17.52,17.83,40576
2011-08-08,17.5,17.5,15.75,16.6,80476
2011-08-09,16.0,16.21,15.56,15.88,75208
2011-08-10,16.02,16.63,16.02,16.54,54584
2011-08-11,16.25,16.69,16.25,16.5,47092
2011-08-12,16.66,16.68,15.6,15.91,28812
2011-08-16,15.93,16.13,15.51,15.75,36232
2011-08-17,16.0,16.64,15.75,16.51,112032
2011-08-18,16.66,16.66,16.13,16.21,43628
2011-08-19,15.75,16.0,15.55,15.79,26680
2011-08-22,15.31,16.0,14.63,15.58,26488
2011-08-23,15.63,15.86,15.55,15.71,23596
2011-08-24,16.27,16.27,15.63,15.8,23992
2011-08-25,15.51,15.89,15.14,15.44,38636
2011-08-26,15.4,15.44,15.0,15.03,25424
2011-08-29,14.64,15.41,14.64,15.29,30668
2011-08-30,15.05,15.86,15.05,15.78,57544
2011-09-02,15.61,15.88,15.43,15.64,42560
2011-09-05,15.43,16.95,15.43,16.66,246860
2011-09-06,16.25,17.11,16.05,16.86,60332
2011-09-07,16.56,17.96,16.5,17.6,239088
