Datetime,Open,High,Low,Close,Volume
2021-06-04,55.55,60.6,54.35,58.95,2134486
2021-06-07,59.5,60.5,58.0,58.35,824702
2021-06-08,58.65,58.95,56.0,56.95,306929
2021-06-09,57.0,58.2,54.6,55.2,315180
2021-06-10,55.75,56.8,54.0,55.6,402179
2021-06-11,56.0,57.4,55.5,56.8,233958
2021-06-14,56.55,57.4,54.05,55.7,213002
2021-06-15,55.7,57.9,55.7,56.6,204139
2021-06-16,57.25,61.0,55.75,57.85,767602
2021-06-17,56.95,58.45,55.8,56.15,262641
2021-06-18,58.0,58.2,52.95,55.7,405133
2021-06-21,54.2,56.65,53.6,56.1,160949
2021-06-22,57.0,57.1,56.05,56.3,108336
2021-06-23,56.55,57.5,55.3,56.35,138185
2021-06-24,56.05,57.0,55.1,55.55,90817
2021-06-25,55.4,59.9,55.0,57.9,369942
2021-06-28,58.6,58.6,56.3,56.5,149105
2021-06-29,56.5,56.9,55.3,55.6,89271
2021-06-30,55.1,56.45,53.6,54.05,135813
2021-07-01,54.95,56.8,54.55,55.4,121206
2021-07-02,56.1,57.75,55.05,57.05,243866
2021-07-05,57.45,57.55,55.35,55.9,211128
2021-07-06,56.45,59.5,56.0,56.45,619231
2021-07-07,56.95,58.0,55.3,57.0,126975
2021-07-08,57.85,58.45,56.65,57.0,139909
2021-07-09,57.0,64.45,56.35,63.25,2772333
2021-07-12,65.0,69.4,64.5,68.2,2312054
2021-07-13,68.6,68.8,64.8,65.3,827723
2021-07-14,65.75,67.4,65.1,65.9,645302
2021-07-15,66.4,66.7,65.0,65.05,349872
2021-07-16,66.9,76.7,66.0,74.5,3552382
2021-07-19,77.5,81.2,74.1,75.2,3302610
2021-07-20,74.7,75.9,71.35,74.1,849203
2021-07-22,77.8,77.8,74.8,75.6,872515
2021-07-23,75.15,76.15,72.7,73.05,785176
2021-07-26,72.0,78.55,71.6,75.3,761989
2021-07-27,75.5,77.5,73.5,75.2,570305
2021-07-28,75.3,78.75,74.05,77.55,941668
2021-07-29,78.05,80.7,76.6,77.85,1281591
2021-07-30,79.45,79.9,69.5,71.2,2958618
2021-08-02,70.7,72.7,69.15,69.6,893285
2021-08-03,74.1,74.1,71.65,72.05,1040769
2021-08-04,72.8,74.65,69.6,70.05,838836
2021-08-05,70.8,70.8,67.5,68.6,359040
2021-08-06,69.8,70.1,68.2,68.95,174208
2021-08-09,69.4,70.2,66.95,67.65,262146
2021-08-10,67.5,68.85,59.6,62.35,506826
2021-08-11,63.25,63.55,56.5,61.9,507757
2021-08-12,63.7,65.0,62.45,63.7,233279
2021-08-13,64.9,67.8,64.15,66.9,344513
2021-08-16,67.0,67.4,64.3,65.55,122437
2021-08-17,65.0,66.0,63.0,63.4,112910
2021-08-18,64.0,64.9,61.75,63.15,155559
2021-08-20,63.0,63.0,58.3,58.95,197773
2021-08-23,60.0,61.3,54.05,55.3,311844
2021-08-24,55.1,60.05,55.1,59.4,263005
2021-08-25,59.45,62.65,59.2,60.65,204215
2021-08-26,60.65,62.45,59.6,59.95,161211
2021-08-27,60.7,60.7,58.8,59.9,79914
2021-08-30,67.2,67.6,62.6,63.75,414474
2021-08-31,63.0,63.7,61.5,62.3,114532
2021-09-01,62.25,64.9,61.1,63.8,143330
2021-09-02,64.65,64.65,62.1,62.75,108467
2021-09-03,62.7,64.0,61.5,61.9,152811
2021-09-06,61.0,64.75,60.75,63.95,238711
2021-09-07,64.0,66.3,62.55,65.6,236400
2021-09-08,66.45,73.9,66.2,69.9,2848464
2021-09-09,70.3,70.5,68.0,68.35,379155
2021-09-13,68.4,68.8,66.5,67.05,186415
2021-09-14,67.05,67.9,65.75,66.0,167124
2021-09-15,66.05,68.6,64.7,66.7,255855
2021-09-16,67.9,67.9,66.0,66.65,173925
2021-09-17,67.0,67.55,63.2,63.65,191517
2021-09-20,62.95,64.6,61.05,61.35,136859
2021-09-21,61.1,62.0,57.6,61.35,329461
2021-09-22,61.5,62.8,60.6,61.75,169281
2021-09-23,62.2,65.85,62.05,64.2,342485
2021-09-24,64.75,64.75,61.65,61.8,217792
2021-09-27,62.1,63.9,61.05,62.65,99673
2021-09-28,63.75,65.5,62.1,63.5,190301
2021-09-29,63.5,69.8,63.0,69.0,1269827
2021-09-30,69.5,71.9,68.0,69.35,495731
2021-10-01,68.9,69.3,66.7,66.95,239381
2021-10-04,66.9,71.05,66.5,70.3,438443
2021-10-05,70.75,70.85,69.0,69.35,298838
2021-10-06,70.2,73.65,69.1,70.45,884071
2021-10-07,71.1,72.65,69.5,69.9,363841
2021-10-08,70.0,71.75,67.0,67.95,349505
2021-10-11,67.7,70.25,66.55,67.95,391583
