Datetime,Open,High,Low,Close,Volume
2011-06-15,124.5,125.0,110.03,116.27,3759
2011-06-16,112.21,123.9,112.21,116.93,749
2011-06-17,116.0,116.0,100.67,109.73,168
2011-06-20,105.95,113.85,100.01,106.59,427
2011-06-21,102.1,112.39,102.07,106.06,264
2011-06-22,106.51,107.99,101.5,103.05,108
2011-06-23,103.05,104.4,103.01,103.5,244
2011-06-24,117.8,117.8,105.5,107.59,912
2011-06-27,111.78,111.8,101.01,107.95,226
2011-06-28,109.99,110.0,102.6,107.74,692
2011-06-29,107.2,109.7,105.0,108.93,187
2011-06-30,110.0,110.02,108.0,108.0,72
2011-07-01,111.68,111.68,111.68,111.68,6
2011-07-04,113.29,116.4,112.4,115.01,960
2011-07-05,117.9,134.88,117.5,128.03,6616
2011-07-06,128.5,134.0,113.0,127.56,1148
2011-07-07,132.4,133.0,128.0,130.68,1391
2011-07-08,130.5,130.5,127.0,127.56,474
2011-07-11,126.11,126.21,120.0,120.08,291
2011-07-12,124.8,126.9,117.0,124.75,613
2011-07-13,125.0,127.9,121.65,127.34,392
2011-07-14,128.79,128.79,121.21,126.01,927
2011-07-15,125.5,129.9,123.1,126.28,153
2011-07-18,125.01,131.4,125.01,129.8,593
2011-07-19,137.8,155.0,127.51,137.14,2477
2011-07-20,144.0,144.0,127.0,130.03,1106
2011-07-21,130.2,134.41,129.02,130.85,512
2011-07-22,134.0,134.0,126.5,128.61,574
2011-07-25,128.5,133.5,128.5,131.7,898
2011-07-26,130.2,131.4,126.0,126.65,273
2011-07-27,131.49,131.49,127.0,128.05,248
2011-07-28,133.9,133.9,125.3,125.93,500
2011-07-29,129.6,130.0,120.0,126.23,2788
2011-08-01,121.5,121.5,113.25,115.88,1085
2011-08-02,117.8,117.99,114.0,115.12,823
2011-08-03,116.05,116.05,110.0,115.36,1846
2011-08-04,113.2,118.5,113.2,115.47,131
2011-08-05,110.5,115.47,108.01,114.36,821
2011-08-08,109.9,137.23,105.5,125.69,14888
2011-08-09,121.99,122.9,114.0,115.51,351
2011-08-10,124.5,126.92,118.1,118.91,260
2011-08-11,119.2,122.0,115.16,120.98,1009
2011-08-12,124.5,129.4,121.5,125.45,1691
2011-08-16,122.45,128.38,120.49,121.6,575
