Datetime,Open,High,Low,Close,Volume
2026-08-17,308.0,322.0,297.0,300.95,8328
2026-08-18,308.5,317.0,298.1,313.85,8980
2026-08-19,322.0,322.0,306.5,310.2,4802
2026-08-20,320.0,320.0,304.9,307.85,6494
2026-08-21,315.0,315.0,305.65,306.55,5372
2026-08-24,306.55,308.45,298.55,303.9,7558
2026-08-25,307.5,307.5,296.0,298.7,7812
2026-08-26,295.65,300.0,291.25,298.45,12885
2026-08-27,300.0,300.85,291.6,292.7,11677
2026-08-28,295.6,299.4,290.0,293.05,8794
2026-08-31,293.1,296.8,288.55,289.95,9882
2026-09-01,290.0,295.2,288.1,290.55,6628
2026-09-02,289.95,290.0,280.5,281.5,8882
2026-09-03,297.0,297.0,279.0,282.35,16663
2026-09-04,282.35,287.4,280.0,282.15,9298
2026-09-07,284.0,285.9,280.0,282.0,7571
2026-09-08,284.45,286.4,272.8,276.95,9918
2026-09-09,276.0,277.35,270.0,272.75,19162
2026-09-10,277.7,279.0,243.25,251.5,64866
2026-09-11,246.55,269.85,238.0,266.95,50644
2026-09-15,271.0,278.0,263.0,263.6,15969
2026-09-16,263.6,265.7,259.55,263.2,5701
2026-09-17,263.2,269.95,263.2,266.05,4382
2026-09-18,266.05,274.0,263.25,266.35,9722
