Datetime,Open,High,Low,Close,Volume
2026-08-17,1150.0,1170.0,1108.0,1148.6,1553
2026-08-18,1174.9,1190.0,1120.1,1146.1,3434
2026-08-19,1219.3,1219.3,1147.0,1179.7,6965
2026-08-20,1199.8,1199.8,1151.2,1173.5,4875
2026-08-21,1175.4,1192.7,1133.0,1153.7,3814
2026-08-24,1162.5,1212.0,1145.0,1147.1,9945
2026-08-25,1153.8,1166.5,1122.5,1138.9,1819
2026-08-26,1178.9,1178.9,1115.7,1123.7,1918
2026-08-27,1139.3,1175.0,1121.0,1144.9,4057
2026-08-28,1140.2,1160.1,1126.2,1148.5,1875
2026-08-31,1177.9,1177.9,1120.0,1139.9,3097
2026-09-01,1149.6,1150.0,1125.1,1138.9,1127
2026-09-02,1139.3,1143.6,1120.1,1124.4,900
2026-09-03,1140.0,1148.8,1101.1,1115.5,2475
2026-09-04,1100.0,1150.0,1100.0,1136.1,2321
2026-09-07,1138.1,1152.6,1129.6,1140.5,1897
2026-09-08,1159.0,1159.0,1113.7,1124.6,2113
2026-09-09,1135.8,1146.0,1111.0,1140.6,2202
2026-09-10,1140.6,1155.0,1121.6,1133.3,3031
2026-09-11,1133.4,1144.6,1059.3,1092.1,4924
2026-09-15,1092.1,1092.1,1040.0,1051.5,5609
2026-09-16,1077.0,1077.0,1020.0,1061.6,2116
2026-09-17,1061.2,1091.8,1061.2,1076.0,2078
2026-09-18,1076.0,1114.9,1070.0,1084.3,1647
2026-09-21,1078.5,1110.0,1051.3,1063.9,1541
2026-09-22,1085.0,1091.6,1063.9,1080.1,981
2026-09-23,1062.1,1160.0,1062.1,1133.8,4857
2026-09-24,1154.0,1154.0,1101.1,1109.4,1610
