Datetime,Open,High,Low,Close,Volume
2016-06-02,2328.0,2350.0,2311.1,2331.35,1845
2016-06-03,2302.5,2364.9,2302.5,2319.85,7169
2016-06-06,2320.05,2374.8,2320.0,2361.85,2044
2016-06-07,2388.0,2388.0,2322.0,2335.3,1296
2016-06-08,2315.0,2358.4,2315.0,2345.05,2525
2016-06-09,2345.0,2352.0,2325.0,2329.25,671
2016-06-10,2329.05,2349.0,2311.0,2324.85,1342
2016-06-13,2320.0,2430.0,2295.0,2369.0,3414
2016-06-14,2369.0,2386.95,2337.1,2370.75,1617
2016-06-15,2370.05,2378.9,2330.0,2338.8,1658
2016-06-16,2340.05,2361.0,2325.0,2345.35,874
2016-06-17,2356.65,2380.0,2350.0,2354.1,1520
2016-06-20,2343.65,2350.0,2322.5,2332.35,2305
2016-06-21,2335.0,2360.0,2320.0,2334.65,2249
2016-06-22,2334.05,2356.0,2334.0,2347.25,1756
2016-06-23,2375.0,2375.0,2286.0,2315.85,5669
2016-06-24,2348.0,2348.0,2241.0,2317.95,4371
2016-06-27,2318.0,2367.0,2304.15,2320.6,1375
2016-06-28,2325.05,2408.45,2325.0,2360.75,4234
2016-06-29,2361.05,2405.0,2350.0,2364.65,2384
2016-06-30,2404.85,2419.0,2376.45,2397.6,2843
2016-07-01,2397.6,2397.6,2355.0,2360.9,1813
2016-07-04,2365.05,2460.0,2365.0,2443.05,9048
2016-07-05,2480.0,2480.0,2394.0,2408.7,3118
2016-07-07,2407.1,2447.8,2404.0,2412.9,1445
2016-07-08,2416.75,2416.75,2377.0,2390.4,1576
2016-07-11,2366.5,2432.0,2365.55,2394.0,6152
2016-07-12,2396.55,2396.55,2360.6,2370.2,2906
2016-07-13,2375.05,2384.8,2335.0,2367.35,2349
2016-07-14,2367.05,2385.0,2365.0,2375.55,892
2016-07-15,2374.05,2380.1,2352.0,2373.4,1556
2016-07-18,2394.65,2394.7,2370.0,2381.35,1932
2016-07-19,2390.05,2390.05,2371.0,2379.9,5824
2016-07-20,2370.05,2380.0,2356.15,2369.7,4163
2016-07-21,2394.5,2439.85,2372.0,2396.0,4255
2016-07-22,2439.7,2454.8,2380.0,2392.5,2085
2016-07-25,2423.75,2430.0,2385.1,2415.95,5202
2016-07-26,2439.0,2439.0,2364.9,2369.7,12257
2016-07-27,2416.35,2416.4,2370.0,2399.55,7594
2016-07-28,2416.4,2416.4,2385.0,2392.4,3590
2016-07-29,2397.8,2400.0,2335.0,2347.25,4888
2016-08-01,2390.0,2399.85,2295.0,2347.65,7286
2016-08-02,2324.25,2392.0,2324.25,2367.65,2509
2016-08-03,2385.0,2385.05,2325.05,2337.75,2912
2016-08-04,2384.95,2385.0,2348.4,2356.95,2457
2016-08-05,2375.55,2477.5,2363.2,2421.55,22361
2016-08-08,2435.0,2474.85,2400.0,2406.1,5638
2016-08-09,2424.9,2445.0,2395.0,2408.5,5656
2016-08-10,2432.0,2445.0,2402.95,2412.05,6193
2016-08-11,2425.85,2425.85,2379.9,2386.0,7241
2016-08-12,2419.95,2419.95,2375.0,2388.6,2146
2016-08-16,2444.0,2444.0,2380.0,2389.3,1305
2016-08-17,2389.1,2421.4,2389.05,2414.0,2496
2016-08-18,2430.0,2578.0,2399.0,2533.25,19939
2016-08-19,2545.0,2584.0,2521.1,2537.0,7436
2016-08-22,2503.0,2525.0,2430.0,2502.1,13448
2016-08-23,2530.0,2534.0,2490.0,2512.15,5632
2016-08-24,2520.05,2536.8,2503.9,2519.8,1719
2016-08-25,2550.0,2554.9,2508.75,2525.75,3617
2016-08-26,2541.1,2549.95,2505.0,2511.05,3668
2016-08-29,2520.0,2568.95,2520.0,2547.3,3482
2016-08-30,2520.05,2630.0,2520.05,2607.2,8574
2016-08-31,2633.1,2649.0,2560.2,2603.45,5742
2016-09-01,2629.9,2650.0,2601.0,2608.75,3113
2016-09-02,2615.05,2708.0,2615.0,2647.7,19216
2016-09-06,2689.0,2715.0,2631.0,2683.7,11882
2016-09-07,2681.9,2748.5,2681.9,2700.8,6287
2016-09-08,2732.0,2739.85,2695.45,2712.3,4344
2016-09-09,2713.05,2744.8,2658.0,2701.5,5848
2016-09-12,2651.35,2680.0,2597.05,2622.25,4855
2016-09-14,2635.0,2740.0,2600.0,2721.0,7735
2016-09-15,2748.95,2850.1,2747.0,2780.85,7322
2016-09-16,2800.0,2840.0,2703.25,2741.4,5070
2016-09-19,2797.9,2890.0,2711.35,2854.65,11309
2016-09-20,2860.0,2934.9,2812.0,2864.4,7174
2016-09-21,2880.0,2920.0,2845.0,2887.2,9864
2016-09-22,2927.95,2950.0,2829.0,2898.75,10570
2016-09-23,2920.0,2975.0,2890.0,2955.4,10633
2016-09-26,2960.0,3050.0,2916.0,3023.25,12986
2016-09-27,3063.5,3209.9,3029.95,3169.45,23295
2016-09-28,3208.0,3800.0,3176.05,3719.95,133416
2016-09-29,3800.0,4048.8,3418.05,3671.6,113511
2016-09-30,3679.0,4248.0,3679.0,4021.85,168448
2016-10-03,4077.0,4100.0,3825.1,3897.0,63195
2016-10-04,3943.3,3979.0,3829.75,3863.0,30362
2016-10-05,3887.0,4060.0,3835.05,3957.9,71370
2016-10-06,3966.0,4052.0,3885.0,3975.0,45641
2016-10-07,3993.85,3997.95,3820.05,3870.2,19370
2016-10-10,3885.0,3934.5,3825.1,3848.05,8522
2016-10-13,3848.0,3899.0,3747.55,3874.6,22979
2016-10-14,3869.65,3942.0,3850.0,3876.15,15118
2016-10-17,3932.0,3932.0,3700.0,3725.0,14624
2016-10-18,3731.0,3875.0,3731.0,3831.35,21212
2016-10-19,3848.0,3888.0,3820.0,3874.7,11020
2016-10-20,3880.0,3899.0,3780.0,3808.75,8154
2016-10-21,3845.0,3845.0,3735.15,3770.1,8153
2016-10-24,3758.0,3824.8,3758.0,3805.1,4818
2016-10-25,3820.0,3890.0,3752.0,3837.95,9017
2016-10-26,3831.85,3846.4,3730.0,3778.5,5845
2016-10-27,3773.8,3870.0,3700.5,3730.0,9470
2016-10-28,3751.0,3765.9,3668.2,3684.25,3864
2016-10-30,3730.0,3747.9,3691.2,3734.05,1576
2016-11-01,3775.0,3899.0,3692.5,3880.1,16090
2016-11-02,3859.0,3860.0,3763.8,3780.0,6847
2016-11-03,3780.0,3834.0,3701.15,3743.2,6869
2016-11-04,3740.1,3790.0,3650.0,3726.1,9710
2016-11-07,3726.0,3848.0,3670.5,3716.8,5212
2016-11-08,3720.0,3815.0,3647.05,3739.55,10967
2016-11-09,3300.0,3810.65,3011.55,3803.05,12992
2016-11-10,3859.95,3865.0,3629.9,3691.0,6553
2016-11-11,3699.05,3704.85,3535.0,3547.8,7512
2016-11-15,3599.0,3599.0,3255.55,3292.0,8929
2016-11-16,3306.0,3600.0,3155.15,3409.75,16501
2016-11-17,3409.75,3560.0,3207.0,3252.65,11636
2016-11-18,3277.0,3329.0,3205.0,3229.3,7781
2016-11-21,3340.0,3340.0,3000.0,3109.4,10915
2016-11-22,3175.0,3187.45,3095.0,3120.65,6656
2016-11-23,3079.0,3278.95,3078.5,3247.25,6201
2016-11-24,3248.0,3250.0,3120.2,3240.6,3514
2016-11-25,3272.0,3460.0,3249.05,3389.5,7300
2016-11-28,3400.0,3474.0,3338.3,3401.8,6275
2016-11-29,3441.85,3449.2,3384.55,3434.05,3090
2016-11-30,3425.0,3549.9,3425.0,3488.1,6615
2016-12-01,3513.95,3532.95,3400.0,3415.7,4648
2016-12-02,3395.55,3411.4,3344.0,3360.3,4870
2016-12-05,3298.1,3414.0,3298.1,3380.55,1739
2016-12-06,3432.0,3447.5,3318.0,3347.2,1943
2016-12-07,3362.9,3379.95,3325.0,3333.55,1146
2016-12-08,3310.0,3548.0,3310.0,3507.4,8743
2016-12-09,3441.0,3550.0,3441.0,3533.75,4820
2016-12-12,3521.5,3578.0,3473.85,3501.65,2795
2016-12-13,3500.05,3538.4,3473.85,3482.8,2153
2016-12-14,3500.0,3553.2,3382.25,3425.7,12157
2016-12-15,3385.0,3385.0,3156.0,3233.0,19835
2016-12-16,3328.0,3328.0,3190.0,3202.85,13606
2016-12-19,3202.0,3248.65,3150.0,3204.95,3167
2016-12-20,3200.0,3249.95,3190.1,3199.85,7615
2016-12-21,3171.2,3237.95,3170.0,3202.0,8374
2016-12-22,3162.35,3222.0,3162.35,3206.8,3176
2016-12-23,3199.95,3245.0,3198.2,3223.15,1778
2016-12-26,3214.6,3257.95,3190.0,3216.5,2985
2016-12-27,3190.0,3225.0,3190.0,3201.25,2186
2016-12-28,3248.95,3268.0,3175.0,3194.95,1911
2016-12-29,3200.05,3233.0,3200.05,3211.95,1399
2016-12-30,3275.0,3275.0,3191.0,3203.25,1637
2017-01-02,3248.5,3248.5,3175.0,3199.7,1466
2017-01-03,3218.8,3479.5,3208.0,3389.7,14906
2017-01-04,3450.0,3491.4,3226.0,3256.8,7832
2017-01-05,3261.6,3330.0,3260.0,3278.8,3449
2017-01-06,3290.05,3350.0,3220.0,3245.25,7832
2017-01-09,3233.7,3318.0,3220.0,3246.6,3315
2017-01-10,3266.3,3360.0,3250.05,3323.75,4480
2017-01-11,3350.0,3360.0,3261.15,3278.65,14455
2017-01-12,3299.95,3320.0,3260.0,3269.75,2174
2017-01-13,3269.75,3285.0,3235.0,3243.4,2260
2017-01-16,3240.0,3299.0,3215.0,3234.35,2315
2017-01-17,3220.1,3297.0,3220.1,3268.2,2960
2017-01-18,3265.05,3289.0,3235.0,3238.2,1721
2017-01-19,3220.0,3268.0,3199.95,3201.6,7672
2017-01-20,3248.0,3248.0,3190.0,3200.15,7246
2017-01-23,3200.0,3237.65,3176.1,3201.1,4437
2017-01-24,3214.95,3239.95,3200.05,3205.45,2809
2017-01-25,3242.85,3247.95,3206.0,3219.9,1215
2017-01-27,3230.55,3244.95,3202.0,3206.15,1477
2017-01-30,3210.0,3241.7,3200.0,3200.25,1521
2017-01-31,3176.0,3234.9,3176.0,3200.7,5345
2017-02-01,3239.0,3309.95,3205.0,3283.4,4748
2017-02-02,3315.0,3346.9,3265.25,3282.6,6424
2017-02-03,3318.95,3346.0,3290.05,3305.75,5905
2017-02-06,3305.0,3339.0,3300.0,3301.0,3269
2017-02-07,3312.7,3324.9,3260.0,3261.45,1500
2017-02-08,3250.15,3298.0,3226.2,3233.45,1814
2017-02-09,3218.3,3260.0,3210.0,3218.85,2483
2017-02-10,3210.05,3235.0,3200.25,3214.4,2206
2017-02-13,3124.0,3169.9,3050.0,3078.55,21535
2017-02-14,3080.0,3094.95,3051.1,3075.1,3986
2017-02-15,3090.0,3090.0,3029.2,3062.8,5935
2017-02-16,3045.1,3189.95,3036.2,3076.6,6340
2017-02-17,3144.0,3144.0,3088.0,3100.15,2494
2017-02-20,3096.85,3139.7,3096.8,3111.35,1615
2017-02-21,3111.35,3145.75,3084.75,3090.35,37051
