Datetime,Open,High,Low,Close,Volume
2016-06-02,52.7,53.85,51.25,53.15,277556
2016-06-03,53.7,57.0,53.3,54.85,438173
2016-06-06,55.5,61.15,55.5,60.15,573394
2016-06-07,61.4,63.45,59.1,59.45,358439
2016-06-08,59.5,60.45,57.5,59.35,251460
2016-06-09,59.85,59.85,57.35,57.7,108771
2016-06-10,57.25,69.2,56.4,68.8,1809692
2016-06-13,67.9,81.45,66.25,76.7,4364895
2016-06-14,76.85,86.95,76.15,85.6,3686453
2016-06-15,85.9,93.4,85.1,92.3,2408474
2016-06-16,94.95,98.0,83.1,86.05,3700603
2016-06-17,81.0,83.0,77.45,77.5,858037
2016-06-20,74.0,81.3,72.0,78.55,705584
2016-06-21,79.4,81.45,75.4,77.85,570357
2016-06-22,78.4,80.3,73.25,74.2,518812
2016-06-23,73.45,76.5,70.5,74.3,690276
2016-06-24,70.7,74.25,70.6,73.0,398870
2016-06-27,73.35,76.65,73.0,76.65,405355
2016-06-28,78.5,80.45,78.1,80.45,430589
2016-06-29,80.95,82.85,78.0,80.45,470909
2016-06-30,81.35,84.4,79.5,80.25,394428
2016-07-01,80.4,81.5,78.65,79.35,348900
2016-07-04,80.85,81.9,78.7,79.55,178009
2016-07-05,79.05,79.6,76.7,77.15,104111
2016-07-07,77.15,81.0,76.1,81.0,629035
2016-07-08,81.8,81.9,77.0,77.4,421038
2016-07-11,79.9,79.9,74.1,77.05,189928
2016-07-12,77.25,78.9,76.0,76.35,133933
2016-07-13,76.9,77.75,75.0,75.55,161705
2016-07-14,75.6,78.8,74.75,76.95,351939
2016-07-15,77.3,77.3,73.5,73.8,126984
2016-07-18,75.0,75.6,72.35,72.95,119618
2016-07-19,73.0,74.2,72.4,72.75,103945
2016-07-20,72.95,75.05,72.9,73.8,179503
2016-07-21,73.95,74.65,72.0,72.3,144024
2016-07-22,72.95,74.15,71.5,71.9,160428
2016-07-25,72.6,74.9,72.3,72.85,134510
2016-07-26,73.65,73.7,70.0,70.9,126154
2016-07-27,72.4,72.4,69.9,71.0,138578
2016-07-28,71.0,71.6,68.5,69.25,84252
2016-07-29,69.9,72.7,69.9,72.7,225716
2016-08-01,73.3,75.5,71.85,72.6,183298
